"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA"
"PE","11.351.301/0001-86","56000000","ISENTO","","N","","06","",""
"BA","42.970.332/0001-49","41745023","183151560","","N","","03","",""
"CE","03.503.868/0001-00","60822315","062887904","","S","102-3","06","",""
"SP","37.226.402/0001-19","13170010","ISENTO","","N","","06","",""
"RJ","28.717.106/0001-20","20020080","ISENTO","","N","","06","",""
"SP","01.536.675/0001-12","15990150","441036262118","","N","206-2","03","",""
"MG","21.425.822/0001-94","37701726","ISENTO","","N","","06","",""
"MG","23.527.593/0001-44","37508000","0026485900063","","N","","06","",""
"SP","16.443.263/0001-05","09950000","ISENTO","","N","","06","",""
"AM","09.675.751/0007-78","69058250","054674557","","N","206-2","03","",""
"SP","00.164.787/0001-27","03102006","116857166115","","N","206-2","03","",""
"PE","49.068.198/0001-34","51110160","ISENTO","","N","","03","",""
"MT","01.346.979/0001-17","78305500","131702211","","N","","03","",""
"SP","26.745.658/0001-16","05412001","ISENTO","","N","","06","",""
"SP","24.616.213/0001-00","08616290","672325913118","","N","206-2","03","",""
"PR","75.263.475/0001-70","86813240","6360239061","","N","205-4","03","",""
"AM","22.464.351/0001-96","69057025","ISENTO","","N","223-2","06","",""
"SP","05.208.227/0001-40","01136001","116424989115","","N","","03","",""
"GO","20.594.387/0001-69","74093250","109536827","","N","206-2","03","",""
"SP","62.178.124/0001-19","18020070","669198710111","","N","206-2","03","",""
"RS","86.721.776/0001-16","93900000","ISENTO","","N","","06","",""
"PB","00.000.000/0151-13","58700020","ISENTO","","S","203-8","06","UNIAO",""
"SP","48.662.175/0010-81","14870000","391024026110","","N","214-3","03","",""
"MG","24.515.118/0001-10","30160048","ISENTO","","N","","06","",""
"SC","06.133.685/0001-20","88801305","ISENTO","","N","206-2","06","",""
"SP","45.804.055/0001-92","11775452","524176655110","","N","","03","",""
"MG","12.613.672/0001-51","30180106","0016703350086","","N","","03","",""
"SP","01.799.016/0001-79","14096730","582440148116","","N","206-2","03","",""
"GO","59.223.270/0001-04","74425350","202352102","","N","","03","",""
"PR","13.376.191/0001-32","83183000","9071625750","","N","206-2","03","",""
